Index,Type,Name,Switch,Description
LLVM_57,LLVM,nounwind-inference,-disable-nounwind-inference,LLVM Optimization Toggle: nounwind-inference
LLVM_58,LLVM,ondemand-mds-loading,-disable-ondemand-mds-loading,LLVM Optimization Toggle: ondemand-mds-loading
LLVM_59,LLVM,partial-inlining,-disable-partial-inlining,LLVM Optimization Toggle: partial-inlining
LLVM_60,LLVM,partial-libcall-inlining,-disable-partial-libcall-inlining,LLVM Optimization Toggle: partial-libcall-inlining
LLVM_61,LLVM,peephole,-disable-peephole,LLVM Optimization Toggle: peephole
LLVM_62,LLVM,phi-elim-edge-splitting,-disable-phi-elim-edge-splitting,LLVM Optimization Toggle: phi-elim-edge-splitting
LLVM_63,LLVM,post-ra,-disable-post-ra,LLVM Optimization Toggle: post-ra
LLVM_64,LLVM,postra-machine-licm,-disable-postra-machine-licm,LLVM Optimization Toggle: postra-machine-licm
LLVM_65,LLVM,postra-machine-sink,-disable-postra-machine-sink,LLVM Optimization Toggle: postra-machine-sink
LLVM_66,LLVM,preheader-prot,-disable-preheader-prot,LLVM Optimization Toggle: preheader-prot
LLVM_67,LLVM,preinline,-disable-preinline,LLVM Optimization Toggle: preinline
LLVM_68,LLVM,promote-alloca-to-vector,-disable-promote-alloca-to-vector,LLVM Optimization Toggle: promote-alloca-to-vector
LLVM_69,LLVM,ra-fsprofile-loader,-disable-ra-fsprofile-loader,LLVM Optimization Toggle: ra-fsprofile-loader
LLVM_70,LLVM,replace-with-vec-lib,-disable-replace-with-vec-lib,LLVM Optimization Toggle: replace-with-vec-lib
LLVM_71,LLVM,sample-loader-inlining,-disable-sample-loader-inlining,LLVM Optimization Toggle: sample-loader-inlining
LLVM_72,LLVM,select-optimize,-disable-select-optimize,LLVM Optimization Toggle: select-optimize
LLVM_73,LLVM,separate-const-offset-from-gep,-disable-separate-const-offset-from-gep,LLVM Optimization Toggle: separate-const-offset-from-gep
LLVM_74,LLVM,spill-fusing,-disable-spill-fusing,LLVM Optimization Toggle: spill-fusing
LLVM_75,LLVM,ssc,-disable-ssc,LLVM Optimization Toggle: ssc
LLVM_76,LLVM,strictnode-mutation,-disable-strictnode-mutation,LLVM Optimization Toggle: strictnode-mutation
LLVM_77,LLVM,tail-calls,-disable-tail-calls,LLVM Optimization Toggle: tail-calls
LLVM_78,LLVM,tail-duplicate,-disable-tail-duplicate,LLVM Optimization Toggle: tail-duplicate
LLVM_79,LLVM,thinlto-funcattrs,-disable-thinlto-funcattrs,LLVM Optimization Toggle: thinlto-funcattrs
LLVM_80,LLVM,type-promotion,-disable-type-promotion,LLVM Optimization Toggle: type-promotion
LLVM_81,LLVM,vector-combine,-disable-vector-combine,LLVM Optimization Toggle: vector-combine
LLVM_82,LLVM,vp,-disable-vp,LLVM Optimization Toggle: vp
LLVM_83,LLVM,whole-program-visibility,-disable-whole-program-visibility,LLVM Optimization Toggle: whole-program-visibility
