ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),SerializationTime(s),DeserializationTime(s),CompileTime(s),Status
EXP_ABL_032_disable-tail-duplicate,2,tail-duplicate,None,612536,0.065066,0.133346,71.0800,Success
EXP_ABL_032_disable-tail-duplicate,3,tail-duplicate,None,612536,0.064171,0.135622,71.0800,Success
EXP_ABL_033_disable-cgp-ext-ld-promotion,1,cgp-ext-ld-promotion,None,612616,0.066712,0.147290,68.5572,Success
EXP_ABL_033_disable-cgp-ext-ld-promotion,2,cgp-ext-ld-promotion,None,612616,0.070297,0.131764,68.5572,Success
EXP_ABL_033_disable-cgp-ext-ld-promotion,3,cgp-ext-ld-promotion,None,612616,0.049098,0.097865,68.5572,Success
EXP_ABL_034_disable-cgp-store-extract,1,cgp-store-extract,None,612600,0.065953,0.133274,103.6576,Success
EXP_ABL_034_disable-cgp-store-extract,2,cgp-store-extract,None,612600,0.065008,0.133051,103.6576,Success
EXP_ABL_034_disable-cgp-store-extract,3,cgp-store-extract,None,612600,0.064885,0.133235,103.6576,Success
EXP_ABL_035_disable-memop-opt,1,memop-opt,None,612600,0.065755,0.138944,95.1585,Success
EXP_ABL_035_disable-memop-opt,2,memop-opt,None,612600,0.065220,0.133461,95.1585,Success
EXP_ABL_035_disable-memop-opt,3,memop-opt,None,612600,0.064512,0.137082,95.1585,Success
EXP_ABL_036_disable-separate-const-offset-from-gep,1,separate-const-offset-from-gep,None,612600,0.063257,0.131814,65.7662,Success
EXP_ABL_036_disable-separate-const-offset-from-gep,2,separate-const-offset-from-gep,None,612600,0.065257,0.130289,65.7662,Success
EXP_ABL_036_disable-separate-const-offset-from-gep,3,separate-const-offset-from-gep,None,612600,0.063181,0.130955,65.7662,Success
EXP_ABL_037_disable-adv-copy-opt,1,adv-copy-opt,None,612600,0.065390,0.133989,75.8333,Success
EXP_ABL_037_disable-adv-copy-opt,2,adv-copy-opt,None,612600,0.065237,0.131835,75.8333,Success
EXP_ABL_037_disable-adv-copy-opt,3,adv-copy-opt,None,612600,0.064399,0.132620,75.8333,Success
EXP_ABL_038_disable-cgp-delete-phis,1,cgp-delete-phis,None,612600,0.064537,0.133648,88.5129,Success
EXP_ABL_038_disable-cgp-delete-phis,2,cgp-delete-phis,None,612600,0.064601,0.132908,88.5129,Success
EXP_ABL_038_disable-cgp-delete-phis,3,cgp-delete-phis,None,612600,0.064024,0.092548,88.5129,Success
EXP_ABL_039_disable-cleanups,1,cleanups,None,612600,0.064873,0.134904,70.3068,Success
EXP_ABL_039_disable-cleanups,2,cleanups,None,612600,0.070256,0.133139,70.3068,Success
EXP_ABL_039_disable-cleanups,3,cleanups,None,612600,0.063439,0.113968,70.3068,Success
EXP_ABL_040_disable-constant-hoisting,1,constant-hoisting,None,612584,0.063159,0.131398,90.2862,Success
EXP_ABL_040_disable-constant-hoisting,2,constant-hoisting,None,612584,0.063680,0.132921,90.2862,Success
EXP_ABL_040_disable-constant-hoisting,3,constant-hoisting,None,612584,0.064067,0.131857,90.2862,Success
EXP_ABL_041_disable-copyprop,1,copyprop,None,612728,0.065053,0.134955,81.9367,Success
EXP_ABL_041_disable-copyprop,2,copyprop,None,612728,0.063739,0.132203,81.9367,Success
EXP_ABL_041_disable-copyprop,3,copyprop,None,612728,0.064917,0.133410,81.9367,Success
EXP_ABL_042_disable-demotion,1,demotion,None,612600,0.066308,0.133438,81.5484,Success
EXP_ABL_042_disable-demotion,2,demotion,None,612600,0.065278,0.134587,81.5484,Success
EXP_ABL_042_disable-demotion,3,demotion,None,612600,0.116269,0.268306,81.5484,Success
EXP_ABL_043_disable-gep-const-evaluation,1,gep-const-evaluation,None,612600,0.113688,0.274991,84.2014,Success
EXP_ABL_043_disable-gep-const-evaluation,2,gep-const-evaluation,None,612600,0.121352,0.274247,84.2014,Success
EXP_ABL_043_disable-gep-const-evaluation,3,gep-const-evaluation,None,612600,0.119116,0.280787,84.2014,Success
EXP_ABL_044_disable-icp,1,icp,None,612600,0.092990,0.219511,91.8158,Success
EXP_ABL_044_disable-icp,2,icp,None,612600,0.108232,0.257546,91.8158,Success
EXP_ABL_044_disable-icp,3,icp,None,612600,0.070138,0.132386,91.8158,Success
EXP_ABL_045_disable-machine-cse,1,machine-cse,None,612808,0.065542,0.132456,79.4447,Success
EXP_ABL_045_disable-machine-cse,2,machine-cse,None,612808,0.063817,0.138033,79.4447,Success
EXP_ABL_045_disable-machine-cse,3,machine-cse,None,612808,0.064839,0.138469,79.4447,Success
EXP_ABL_046_disable-machine-dce,1,machine-dce,None,612632,0.064028,0.132090,80.8927,Success
EXP_ABL_046_disable-machine-dce,2,machine-dce,None,612632,0.063606,0.152289,80.8927,Success
EXP_ABL_046_disable-machine-dce,3,machine-dce,None,612632,0.062804,0.132083,80.8927,Success
EXP_ABL_047_disable-machine-sink,1,machine-sink,None,612600,0.064570,0.134487,95.5664,Success
EXP_ABL_047_disable-machine-sink,2,machine-sink,None,612600,0.063679,0.132161,95.5664,Success
EXP_ABL_047_disable-machine-sink,3,machine-sink,None,612600,0.064618,0.132742,95.5664,Success
EXP_ABL_048_disable-mergeicmps,1,mergeicmps,None,612600,0.063649,0.132370,88.9150,Success
EXP_ABL_048_disable-mergeicmps,2,mergeicmps,None,612600,0.066341,0.135209,88.9150,Success
EXP_ABL_048_disable-mergeicmps,3,mergeicmps,None,612600,0.063277,0.093183,88.9150,Success
EXP_ABL_049_disable-non-allocatable-phys-copy-opt,1,non-allocatable-phys-copy-opt,None,612600,0.064977,0.131846,89.3006,Success
EXP_ABL_049_disable-non-allocatable-phys-copy-opt,2,non-allocatable-phys-copy-opt,None,612600,0.065877,0.135258,89.3006,Success
EXP_ABL_049_disable-non-allocatable-phys-copy-opt,3,non-allocatable-phys-copy-opt,None,612600,0.070409,0.132226,89.3006,Success
