ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,ASM_JmpLike,ASM_JmpLike_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_0841,default,licm-promotion,Inline,3,4.079895,14.249324,417224.0,-23.608630200083137,4.4814781846255425,0.015341835267035364,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0846,default,preheader-prot,Inline,3,4.184722,13.277611,417208.0,-21.64586446174529,-2.6434921375607545,0.011506376450287625,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0902,default,cgp,Inline,3,4.224253,12.97119,424472.0,-20.905691677994596,-4.890287776905556,1.7528046792597562,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0847,default,block-placement,Inline,3,4.243787,13.032937,409336.0,-20.539939858971902,-4.437535222927124,-1.8755393613961058,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,10.0,-1.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0903,default,cgp-gc-opts,Inline,3,4.402514,12.772977,417160.0,-17.567958238309757,-6.343661090292862,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0859,default,ifcvt-triangle-false,Inline,3,4.414114,13.056554,417160.0,-17.350761499256663,-4.2643663715285385,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0855,default,ifcvt-forked-diamond,Inline,3,4.433984,12.475672,417160.0,-16.978718464344155,-8.523614740843588,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0869,default,cleanups,Inline,3,4.442175,12.694288,417160.0,-16.825351353173133,-6.920638849860261,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0896,default,ra-fsprofile-loader,Inline,3,4.457725,12.359949,417160.0,-16.53419537970109,-9.372139912982236,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0856,default,ifcvt-simple,Inline,3,4.457997,12.61217,417160.0,-16.52910249064743,-7.522759345230079,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0873,default,gep-const-evaluation,Inline,3,4.459924,12.480597,417160.0,-16.493021618565074,-8.487502762474698,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0911,default,post-ra,Inline,3,4.46799,13.280762,417160.0,-16.341994989495902,-2.620387803786073,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0880,default,phi-elim-edge-splitting,Inline,3,4.470135,12.994095,416200.0,-16.301832316627905,-4.722339581059998,-0.2301275290056526,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0868,default,cgp-delete-phis,Inline,3,4.477843,13.526198,417160.0,-16.157508828298482,-0.8207574437969267,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0912,default,spill-fusing,Inline,3,4.478125,13.638166,419304.0,-16.152228700676662,0.00023463620462127466,0.5139514814459734,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0904,default,complex-addr-modes,Inline,3,4.478972,12.717131,417144.0,-16.136369593954434,-6.753145261661164,-0.003835458816758841,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0883,default,select-optimize,Inline,3,4.483973,13.12409,417160.0,-16.042731586023017,-3.769166661656209,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0900,default,whole-program-visibility,Inline,3,4.486161,13.169867,417160.0,-16.001763787311962,-3.4335122385511174,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0901,default,2addr-hack,Inline,3,4.486266,13.145765,417160.0,-15.999797782346404,-3.610237294926122,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0878,default,mergeicmps,Inline,3,4.490794,12.726961,417160.0,-15.915016158688422,-6.68106795255129,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0857,default,ifcvt-simple-false,Inline,3,4.493164,12.899371,417160.0,-15.870640618037058,-5.416892076291379,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0897,default,sample-loader-inlining,Inline,3,4.493819,12.852959,417160.0,-15.858376491823279,-5.757202561582108,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0865,default,memop-opt,Inline,3,4.494496,13.356157,417160.0,-15.845700440759591,-2.067562908532805,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0893,default,nofree-inference,Inline,3,4.496823,13.222667,417160.0,-15.802130025951255,-3.0463625009110595,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0892,default,layout-fsprofile-loader,Inline,3,4.497781,12.697313,417160.0,-15.784192571122569,-6.898458396141304,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0860,default,ifcvt-triangle-rev,Inline,3,4.499203,12.931542,417160.0,-15.757567246731751,-5.18100203444255,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0889,default,cgdata-for-merging,Inline,3,4.499586,13.170466,417160.0,-15.750396009571633,-3.4291201420956985,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0876,default,machine-dce,Inline,3,4.501065,12.744056,417160.0,-15.722703425342367,-6.555720892608918,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0890,default,global-outlining,Inline,3,4.501249,12.69512,417160.0,-15.719258235688427,-6.914538308539875,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0871,default,copyprop,Inline,3,4.503027,13.349011,417528.0,-15.685967218271479,-2.1199601059793127,0.08821555278550886,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0863,default,cgp-ext-ld-promotion,Inline,3,4.503434,13.430971,417240.0,-15.6783466085478,-1.5189981268698638,0.019177294083805307,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0879,default,non-allocatable-phys-copy-opt,Inline,3,4.504596,12.764581,417160.0,-15.656589486928862,-6.4052237644827485,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0872,default,demotion,Inline,3,4.508508,13.119794,417160.0,-15.583341759068892,-3.800666572127831,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0844,default,machine-licm,Inline,3,4.509566,13.344913,414824.0,-15.563531918558704,-2.1500082049347835,-0.5599769872471017,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0907,default,mr-partial-inlining,Inline,3,4.509829,12.776773,417160.0,-15.558607544216386,-6.315827370518578,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0905,default,dfa-sched,Inline,3,4.510169,13.157319,417160.0,-15.552241432899304,-3.525518960291796,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0898,default,thinlto-funcattrs,Inline,3,4.511598,13.593086,417160.0,-15.525485041510779,-0.3303091170683725,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0908,default,partial-inlining,Inline,3,4.526022,12.83271,417160.0,-15.25541213081234,-5.905675952443346,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0874,default,icp,Inline,3,4.526198,12.866498,417160.0,-15.252116732012922,-5.657929449879296,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0851,default,chr,Inline,3,4.528785,12.780126,417160.0,-15.203678114432718,-6.291241895702171,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0867,default,adv-copy-opt,Inline,3,4.529222,12.675585,417128.0,-15.195495789004598,-7.0577763790853005,-0.007670917633517682,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0848,default,branch-fold,Inline,3,4.531011,12.106146,419048.0,-15.161998809162691,-11.233120308100798,0.4525841403777875,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0885,default,type-promotion,Inline,3,4.53195,12.891783,417160.0,-15.144417107613483,-5.4725301863143505,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0891,default,last-run-tracking,Inline,3,4.534559,13.281319,417160.0,-15.095566565183361,-2.616303667349218,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0864,default,cgp-store-extract,Inline,3,4.538626,12.687995,417160.0,-15.019416639517068,-6.966781525977083,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0850,default,cgp-select2branch,Inline,3,4.538669,12.970992,417096.0,-15.01861151367403,-4.891739588421706,-0.015341835267046466,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0899,default,vp,Inline,3,4.544343,12.858331,417160.0,-14.912372350106162,-5.7178130087298,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0854,default,ifcvt-diamond,Inline,3,4.544714,13.085588,417160.0,-14.905425799227823,-4.051478010114884,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0839,default,advanced-peeling,Inline,3,4.545389,14.274813,416936.0,-14.892787195877744,4.668373253995006,-0.05369642343465708,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0895,default,ondemand-mds-loading,Inline,3,4.545696,13.443682,417160.0,-14.887038971835565,-1.4257962269618396,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0888,default,cfi-fixup,Inline,3,4.550284,13.191306,417160.0,-14.801133916768695,-3.2763133138301814,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0913,default,strictnode-mutation,Inline,3,4.551866,13.057304,417160.0,-14.771512775287487,-4.258867085482521,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0838,default,vector-combine,Inline,3,4.55664,14.101236,417192.0,-14.682125082853059,3.395640488647489,0.007670917633517682,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0862,default,tail-duplicate,Inline,3,4.559531,13.011765,416824.0,-14.627994412801126,-4.592776401815679,-0.08054463515198007,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0861,default,tail-calls,Inline,3,4.559674,13.037072,417160.0,-14.625316901276586,-4.407215825860056,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0842,default,loop-level-heuristics,Inline,3,4.560991,13.788569,417160.0,-14.60065758185134,1.1030467951114176,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0866,default,separate-const-offset-from-gep,Inline,3,4.566835,12.972003,417160.0,-14.491235362624922,-4.884326550831664,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0837,default,replace-with-vec-lib,Inline,3,4.570216,14.955114,417160.0,-14.42793000273367,9.656599649189545,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0849,default,cgp-branch-opts,Inline,3,4.573163,12.828397,417160.0,-14.372750796700096,-5.9373005133986805,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0887,default,bitcode-version-upgrade,Inline,3,4.589955,13.279908,417160.0,-14.058339793063935,-2.6266496574971376,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0836,default,promote-alloca-to-vector,Inline,3,4.592394,14.019726,417160.0,-14.01267230629234,2.797978081165642,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0909,default,partial-libcall-inlining,Inline,3,4.592802,12.73784,417160.0,-14.00503297271185,-6.601298975358361,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0858,default,ifcvt-triangle,Inline,3,4.596822,12.750938,417160.0,-13.929763068315848,-6.505259443850608,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0852,default,early-ifcvt,Inline,3,4.601909,12.927583,417160.0,-13.834514808698351,-5.210030932384157,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0831,default,binop-extract-shuffle,Inline,3,4.6045,15.5062,417160.0,-13.786001295690886,13.697372382468153,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0882,default,preinline,Inline,3,4.620385,12.944982,417160.0,-13.488572830185852,-5.082454828497807,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0886,default,auto-upgrade-debug-info,Inline,3,4.623325,13.005405,417160.0,-13.433524691149968,-4.639410347485962,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0832,default,expand-reductions,Inline,3,4.624223,15.602224,417208.0,-13.41671066773018,14.40145697351265,0.011506376450287625,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0833,default,interleaved-load-combine,Inline,3,4.627999,14.717801,417160.0,-13.346009384397028,7.916530223269547,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0845,default,postra-machine-licm,Inline,3,4.637695,14.153732,417176.0,-13.16446286871955,3.780561182343556,0.0038354588167699433,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0835,default,loop-idiom-vectorize-bytecmp,Inline,3,4.637752,15.577309,417160.0,-13.163395608881101,14.218770691063742,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0875,default,machine-cse,Inline,3,4.647076,12.68076,418008.0,-12.988814367938751,-7.019831305367741,0.2032793172883407,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0834,default,loop-idiom-vectorize-all,Inline,3,4.700938,15.270229,417160.0,-11.98030999217342,11.967143012379843,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_ABL_011_Inline,default,None,Inline,3,5.21673,14.167981,417160.0,-2.322694437891082,3.885040284836605,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
