Experiment_ID,Type,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_DBL_0017,Double_Disable,-disable-block-placement,CopyProp,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-block-placement AND MIR CopyProp
EXP_DBL_0018,Double_Disable,-disable-branch-fold,CopyProp,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-branch-fold AND MIR CopyProp
EXP_DBL_0019,Double_Disable,-disable-cgp-branch-opts,CopyProp,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-branch-opts AND MIR CopyProp
EXP_DBL_0020,Double_Disable,-disable-cgp-select2branch,CopyProp,-C llvm-args=-disable-cgp-select2branch -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-select2branch AND MIR CopyProp
EXP_DBL_0021,Double_Disable,-disable-chr,CopyProp,-C llvm-args=-disable-chr -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-chr AND MIR CopyProp
EXP_DBL_0022,Double_Disable,-disable-early-ifcvt,CopyProp,-C llvm-args=-disable-early-ifcvt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-early-ifcvt AND MIR CopyProp
EXP_DBL_0023,Double_Disable,-disable-early-taildup,CopyProp,-C llvm-args=-disable-early-taildup -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-early-taildup AND MIR CopyProp
EXP_DBL_0024,Double_Disable,-disable-ifcvt-diamond,CopyProp,-C llvm-args=-disable-ifcvt-diamond -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-diamond AND MIR CopyProp
EXP_DBL_0025,Double_Disable,-disable-ifcvt-forked-diamond,CopyProp,-C llvm-args=-disable-ifcvt-forked-diamond -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-forked-diamond AND MIR CopyProp
EXP_DBL_0026,Double_Disable,-disable-ifcvt-simple,CopyProp,-C llvm-args=-disable-ifcvt-simple -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-simple AND MIR CopyProp
EXP_DBL_0027,Double_Disable,-disable-ifcvt-simple-false,CopyProp,-C llvm-args=-disable-ifcvt-simple-false -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-simple-false AND MIR CopyProp
EXP_DBL_0028,Double_Disable,-disable-ifcvt-triangle,CopyProp,-C llvm-args=-disable-ifcvt-triangle -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-triangle AND MIR CopyProp
EXP_DBL_0029,Double_Disable,-disable-ifcvt-triangle-false,CopyProp,-C llvm-args=-disable-ifcvt-triangle-false -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-triangle-false AND MIR CopyProp
EXP_DBL_0030,Double_Disable,-disable-ifcvt-triangle-rev,CopyProp,-C llvm-args=-disable-ifcvt-triangle-rev -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ifcvt-triangle-rev AND MIR CopyProp
EXP_DBL_0031,Double_Disable,-disable-tail-calls,CopyProp,-C llvm-args=-disable-tail-calls -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-tail-calls AND MIR CopyProp
EXP_DBL_0032,Double_Disable,-disable-tail-duplicate,CopyProp,-C llvm-args=-disable-tail-duplicate -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-tail-duplicate AND MIR CopyProp
EXP_DBL_0033,Double_Disable,-disable-cgp-ext-ld-promotion,CopyProp,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR CopyProp
EXP_DBL_0034,Double_Disable,-disable-cgp-store-extract,CopyProp,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-store-extract AND MIR CopyProp
EXP_DBL_0035,Double_Disable,-disable-memop-opt,CopyProp,-C llvm-args=-disable-memop-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-memop-opt AND MIR CopyProp
EXP_DBL_0036,Double_Disable,-disable-separate-const-offset-from-gep,CopyProp,-C llvm-args=-disable-separate-const-offset-from-gep -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-separate-const-offset-from-gep AND MIR CopyProp
EXP_DBL_0037,Double_Disable,-disable-adv-copy-opt,CopyProp,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-adv-copy-opt AND MIR CopyProp
EXP_DBL_0038,Double_Disable,-disable-cgp-delete-phis,CopyProp,-C llvm-args=-disable-cgp-delete-phis -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-delete-phis AND MIR CopyProp
EXP_DBL_0039,Double_Disable,-disable-cleanups,CopyProp,-C llvm-args=-disable-cleanups -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cleanups AND MIR CopyProp
EXP_DBL_0040,Double_Disable,-disable-constant-hoisting,CopyProp,-C llvm-args=-disable-constant-hoisting -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-constant-hoisting AND MIR CopyProp
EXP_DBL_0041,Double_Disable,-disable-copyprop,CopyProp,-C llvm-args=-disable-copyprop -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-copyprop AND MIR CopyProp
EXP_DBL_0042,Double_Disable,-disable-demotion,CopyProp,-C llvm-args=-disable-demotion -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-demotion AND MIR CopyProp
EXP_DBL_0043,Double_Disable,-disable-gep-const-evaluation,CopyProp,-C llvm-args=-disable-gep-const-evaluation -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-gep-const-evaluation AND MIR CopyProp
EXP_DBL_0044,Double_Disable,-disable-icp,CopyProp,-C llvm-args=-disable-icp -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-icp AND MIR CopyProp
EXP_DBL_0045,Double_Disable,-disable-machine-cse,CopyProp,-C llvm-args=-disable-machine-cse -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-machine-cse AND MIR CopyProp
EXP_DBL_0046,Double_Disable,-disable-machine-dce,CopyProp,-C llvm-args=-disable-machine-dce -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-machine-dce AND MIR CopyProp
EXP_DBL_0047,Double_Disable,-disable-machine-sink,CopyProp,-C llvm-args=-disable-machine-sink -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-machine-sink AND MIR CopyProp
EXP_DBL_0048,Double_Disable,-disable-mergeicmps,CopyProp,-C llvm-args=-disable-mergeicmps -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-mergeicmps AND MIR CopyProp
EXP_DBL_0049,Double_Disable,-disable-non-allocatable-phys-copy-opt,CopyProp,-C llvm-args=-disable-non-allocatable-phys-copy-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-non-allocatable-phys-copy-opt AND MIR CopyProp
EXP_DBL_0050,Double_Disable,-disable-phi-elim-edge-splitting,CopyProp,-C llvm-args=-disable-phi-elim-edge-splitting -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-phi-elim-edge-splitting AND MIR CopyProp
EXP_DBL_0051,Double_Disable,-disable-postra-machine-sink,CopyProp,-C llvm-args=-disable-postra-machine-sink -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-postra-machine-sink AND MIR CopyProp
EXP_DBL_0052,Double_Disable,-disable-preinline,CopyProp,-C llvm-args=-disable-preinline -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-preinline AND MIR CopyProp
EXP_DBL_0053,Double_Disable,-disable-select-optimize,CopyProp,-C llvm-args=-disable-select-optimize -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-select-optimize AND MIR CopyProp
EXP_DBL_0054,Double_Disable,-disable-ssc,CopyProp,-C llvm-args=-disable-ssc -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ssc AND MIR CopyProp
EXP_DBL_0055,Double_Disable,-disable-type-promotion,CopyProp,-C llvm-args=-disable-type-promotion -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-type-promotion AND MIR CopyProp
EXP_DBL_0056,Double_Disable,-disable-auto-upgrade-debug-info,CopyProp,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-auto-upgrade-debug-info AND MIR CopyProp
EXP_DBL_0057,Double_Disable,-disable-bitcode-version-upgrade,CopyProp,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-bitcode-version-upgrade AND MIR CopyProp
EXP_DBL_0058,Double_Disable,-disable-cfi-fixup,CopyProp,-C llvm-args=-disable-cfi-fixup -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cfi-fixup AND MIR CopyProp
EXP_DBL_0059,Double_Disable,-disable-cgdata-for-merging,CopyProp,-C llvm-args=-disable-cgdata-for-merging -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgdata-for-merging AND MIR CopyProp
EXP_DBL_0060,Double_Disable,-disable-global-outlining,CopyProp,-C llvm-args=-disable-global-outlining -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-global-outlining AND MIR CopyProp
EXP_DBL_0061,Double_Disable,-disable-last-run-tracking,CopyProp,-C llvm-args=-disable-last-run-tracking -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-last-run-tracking AND MIR CopyProp
EXP_DBL_0062,Double_Disable,-disable-layout-fsprofile-loader,CopyProp,-C llvm-args=-disable-layout-fsprofile-loader -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-layout-fsprofile-loader AND MIR CopyProp
EXP_DBL_0063,Double_Disable,-disable-nofree-inference,CopyProp,-C llvm-args=-disable-nofree-inference -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-nofree-inference AND MIR CopyProp
EXP_DBL_0064,Double_Disable,-disable-nounwind-inference,CopyProp,-C llvm-args=-disable-nounwind-inference -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-nounwind-inference AND MIR CopyProp
EXP_DBL_0065,Double_Disable,-disable-ondemand-mds-loading,CopyProp,-C llvm-args=-disable-ondemand-mds-loading -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ondemand-mds-loading AND MIR CopyProp
EXP_DBL_0066,Double_Disable,-disable-ra-fsprofile-loader,CopyProp,-C llvm-args=-disable-ra-fsprofile-loader -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-ra-fsprofile-loader AND MIR CopyProp
EXP_DBL_0067,Double_Disable,-disable-sample-loader-inlining,CopyProp,-C llvm-args=-disable-sample-loader-inlining -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-sample-loader-inlining AND MIR CopyProp
EXP_DBL_0068,Double_Disable,-disable-thinlto-funcattrs,CopyProp,-C llvm-args=-disable-thinlto-funcattrs -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-thinlto-funcattrs AND MIR CopyProp
EXP_DBL_0069,Double_Disable,-disable-vp,CopyProp,-C llvm-args=-disable-vp -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-vp AND MIR CopyProp
EXP_DBL_0070,Double_Disable,-disable-whole-program-visibility,CopyProp,-C llvm-args=-disable-whole-program-visibility -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-whole-program-visibility AND MIR CopyProp
EXP_DBL_0071,Double_Disable,-disable-2addr-hack,CopyProp,-C llvm-args=-disable-2addr-hack -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-2addr-hack AND MIR CopyProp
EXP_DBL_0072,Double_Disable,-disable-cgp,CopyProp,-C llvm-args=-disable-cgp -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp AND MIR CopyProp
EXP_DBL_0073,Double_Disable,-disable-cgp-gc-opts,CopyProp,-C llvm-args=-disable-cgp-gc-opts -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-gc-opts AND MIR CopyProp
EXP_DBL_0074,Double_Disable,-disable-complex-addr-modes,CopyProp,-C llvm-args=-disable-complex-addr-modes -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-complex-addr-modes AND MIR CopyProp
EXP_DBL_0075,Double_Disable,-disable-dfa-sched,CopyProp,-C llvm-args=-disable-dfa-sched -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-dfa-sched AND MIR CopyProp
EXP_DBL_0076,Double_Disable,-disable-i2p-p2i-opt,CopyProp,-C llvm-args=-disable-i2p-p2i-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-i2p-p2i-opt AND MIR CopyProp
EXP_DBL_0077,Double_Disable,-disable-mr-partial-inlining,CopyProp,-C llvm-args=-disable-mr-partial-inlining -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-mr-partial-inlining AND MIR CopyProp
EXP_DBL_0078,Double_Disable,-disable-partial-inlining,CopyProp,-C llvm-args=-disable-partial-inlining -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-partial-inlining AND MIR CopyProp
EXP_DBL_0079,Double_Disable,-disable-partial-libcall-inlining,CopyProp,-C llvm-args=-disable-partial-libcall-inlining -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-partial-libcall-inlining AND MIR CopyProp
EXP_DBL_0080,Double_Disable,-disable-peephole,CopyProp,-C llvm-args=-disable-peephole -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-peephole AND MIR CopyProp
EXP_DBL_0081,Double_Disable,-disable-post-ra,CopyProp,-C llvm-args=-disable-post-ra -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-post-ra AND MIR CopyProp
EXP_DBL_0082,Double_Disable,-disable-spill-fusing,CopyProp,-C llvm-args=-disable-spill-fusing -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-spill-fusing AND MIR CopyProp
EXP_DBL_0083,Double_Disable,-disable-strictnode-mutation,CopyProp,-C llvm-args=-disable-strictnode-mutation -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-strictnode-mutation AND MIR CopyProp
EXP_DBL_0084,Double_Disable,-disable-binop-extract-shuffle,DataflowConstProp,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-binop-extract-shuffle AND MIR DataflowConstProp
EXP_DBL_0085,Double_Disable,-disable-expand-reductions,DataflowConstProp,-C llvm-args=-disable-expand-reductions -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-expand-reductions AND MIR DataflowConstProp
EXP_DBL_0086,Double_Disable,-disable-interleaved-load-combine,DataflowConstProp,-C llvm-args=-disable-interleaved-load-combine -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-interleaved-load-combine AND MIR DataflowConstProp
EXP_DBL_0087,Double_Disable,-disable-loop-idiom-vectorize-all,DataflowConstProp,-C llvm-args=-disable-loop-idiom-vectorize-all -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-loop-idiom-vectorize-all AND MIR DataflowConstProp
EXP_DBL_0088,Double_Disable,-disable-loop-idiom-vectorize-bytecmp,DataflowConstProp,-C llvm-args=-disable-loop-idiom-vectorize-bytecmp -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-loop-idiom-vectorize-bytecmp AND MIR DataflowConstProp
EXP_DBL_0089,Double_Disable,-disable-promote-alloca-to-vector,DataflowConstProp,-C llvm-args=-disable-promote-alloca-to-vector -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-promote-alloca-to-vector AND MIR DataflowConstProp
EXP_DBL_0090,Double_Disable,-disable-replace-with-vec-lib,DataflowConstProp,-C llvm-args=-disable-replace-with-vec-lib -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-replace-with-vec-lib AND MIR DataflowConstProp
EXP_DBL_0091,Double_Disable,-disable-vector-combine,DataflowConstProp,-C llvm-args=-disable-vector-combine -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-vector-combine AND MIR DataflowConstProp
EXP_DBL_0092,Double_Disable,-disable-advanced-peeling,DataflowConstProp,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-advanced-peeling AND MIR DataflowConstProp
EXP_DBL_0093,Double_Disable,-disable-lftr,DataflowConstProp,-C llvm-args=-disable-lftr -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-lftr AND MIR DataflowConstProp
EXP_DBL_0094,Double_Disable,-disable-licm-promotion,DataflowConstProp,-C llvm-args=-disable-licm-promotion -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-licm-promotion AND MIR DataflowConstProp
EXP_DBL_0095,Double_Disable,-disable-loop-level-heuristics,DataflowConstProp,-C llvm-args=-disable-loop-level-heuristics -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-loop-level-heuristics AND MIR DataflowConstProp
EXP_DBL_0096,Double_Disable,-disable-lsr,DataflowConstProp,-C llvm-args=-disable-lsr -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-lsr AND MIR DataflowConstProp
EXP_DBL_0097,Double_Disable,-disable-machine-licm,DataflowConstProp,-C llvm-args=-disable-machine-licm -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-machine-licm AND MIR DataflowConstProp
EXP_DBL_0098,Double_Disable,-disable-postra-machine-licm,DataflowConstProp,-C llvm-args=-disable-postra-machine-licm -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-postra-machine-licm AND MIR DataflowConstProp
EXP_DBL_0099,Double_Disable,-disable-preheader-prot,DataflowConstProp,-C llvm-args=-disable-preheader-prot -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-preheader-prot AND MIR DataflowConstProp
EXP_DBL_0100,Double_Disable,-disable-block-placement,DataflowConstProp,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-block-placement AND MIR DataflowConstProp
EXP_DBL_0101,Double_Disable,-disable-branch-fold,DataflowConstProp,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-branch-fold AND MIR DataflowConstProp
EXP_DBL_0102,Double_Disable,-disable-cgp-branch-opts,DataflowConstProp,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-branch-opts AND MIR DataflowConstProp
EXP_DBL_0103,Double_Disable,-disable-cgp-select2branch,DataflowConstProp,-C llvm-args=-disable-cgp-select2branch -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-select2branch AND MIR DataflowConstProp
EXP_DBL_0104,Double_Disable,-disable-chr,DataflowConstProp,-C llvm-args=-disable-chr -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-chr AND MIR DataflowConstProp
EXP_DBL_0105,Double_Disable,-disable-early-ifcvt,DataflowConstProp,-C llvm-args=-disable-early-ifcvt -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-early-ifcvt AND MIR DataflowConstProp
EXP_DBL_0106,Double_Disable,-disable-early-taildup,DataflowConstProp,-C llvm-args=-disable-early-taildup -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-early-taildup AND MIR DataflowConstProp
EXP_DBL_0107,Double_Disable,-disable-ifcvt-diamond,DataflowConstProp,-C llvm-args=-disable-ifcvt-diamond -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-diamond AND MIR DataflowConstProp
EXP_DBL_0108,Double_Disable,-disable-ifcvt-forked-diamond,DataflowConstProp,-C llvm-args=-disable-ifcvt-forked-diamond -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-forked-diamond AND MIR DataflowConstProp
EXP_DBL_0109,Double_Disable,-disable-ifcvt-simple,DataflowConstProp,-C llvm-args=-disable-ifcvt-simple -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-simple AND MIR DataflowConstProp
EXP_DBL_0110,Double_Disable,-disable-ifcvt-simple-false,DataflowConstProp,-C llvm-args=-disable-ifcvt-simple-false -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-simple-false AND MIR DataflowConstProp
EXP_DBL_0111,Double_Disable,-disable-ifcvt-triangle,DataflowConstProp,-C llvm-args=-disable-ifcvt-triangle -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-triangle AND MIR DataflowConstProp
EXP_DBL_0112,Double_Disable,-disable-ifcvt-triangle-false,DataflowConstProp,-C llvm-args=-disable-ifcvt-triangle-false -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-triangle-false AND MIR DataflowConstProp
EXP_DBL_0113,Double_Disable,-disable-ifcvt-triangle-rev,DataflowConstProp,-C llvm-args=-disable-ifcvt-triangle-rev -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-ifcvt-triangle-rev AND MIR DataflowConstProp
EXP_DBL_0114,Double_Disable,-disable-tail-calls,DataflowConstProp,-C llvm-args=-disable-tail-calls -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-tail-calls AND MIR DataflowConstProp
EXP_DBL_0115,Double_Disable,-disable-tail-duplicate,DataflowConstProp,-C llvm-args=-disable-tail-duplicate -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-tail-duplicate AND MIR DataflowConstProp
EXP_DBL_0116,Double_Disable,-disable-cgp-ext-ld-promotion,DataflowConstProp,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR DataflowConstProp
EXP_DBL_0117,Double_Disable,-disable-cgp-store-extract,DataflowConstProp,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-store-extract AND MIR DataflowConstProp
EXP_DBL_0118,Double_Disable,-disable-memop-opt,DataflowConstProp,-C llvm-args=-disable-memop-opt -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-memop-opt AND MIR DataflowConstProp
EXP_DBL_0119,Double_Disable,-disable-separate-const-offset-from-gep,DataflowConstProp,-C llvm-args=-disable-separate-const-offset-from-gep -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-separate-const-offset-from-gep AND MIR DataflowConstProp
EXP_DBL_0120,Double_Disable,-disable-adv-copy-opt,DataflowConstProp,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-adv-copy-opt AND MIR DataflowConstProp
EXP_DBL_0121,Double_Disable,-disable-cgp-delete-phis,DataflowConstProp,-C llvm-args=-disable-cgp-delete-phis -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-delete-phis AND MIR DataflowConstProp
EXP_DBL_0122,Double_Disable,-disable-cleanups,DataflowConstProp,-C llvm-args=-disable-cleanups -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cleanups AND MIR DataflowConstProp
EXP_DBL_0123,Double_Disable,-disable-constant-hoisting,DataflowConstProp,-C llvm-args=-disable-constant-hoisting -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-constant-hoisting AND MIR DataflowConstProp
EXP_DBL_0124,Double_Disable,-disable-copyprop,DataflowConstProp,-C llvm-args=-disable-copyprop -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-copyprop AND MIR DataflowConstProp
EXP_DBL_0125,Double_Disable,-disable-demotion,DataflowConstProp,-C llvm-args=-disable-demotion -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-demotion AND MIR DataflowConstProp
EXP_DBL_0126,Double_Disable,-disable-gep-const-evaluation,DataflowConstProp,-C llvm-args=-disable-gep-const-evaluation -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-gep-const-evaluation AND MIR DataflowConstProp
EXP_DBL_0127,Double_Disable,-disable-icp,DataflowConstProp,-C llvm-args=-disable-icp -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-icp AND MIR DataflowConstProp
EXP_DBL_0128,Double_Disable,-disable-machine-cse,DataflowConstProp,-C llvm-args=-disable-machine-cse -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-machine-cse AND MIR DataflowConstProp
