ConfigName,Group,Case,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
EXP_ABL_001_CopyProp,Matrix,easy_case,7,None,CopyProp,452104,41970.15,24984,0.764402,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,8,None,CopyProp,452104,41135.78,25491,0.749206,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,9,None,CopyProp,452104,40675.31,25779,0.740820,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,10,None,CopyProp,452104,39243.05,26720,0.714734,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,1,None,CopyProp,452104,29896.30,35074,0.700171,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,2,None,CopyProp,452104,29924.45,35041,0.700831,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,3,None,CopyProp,452104,30761.06,34088,0.720424,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,4,None,CopyProp,452104,31318.02,33482,0.733468,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,5,None,CopyProp,452104,30698.94,34157,0.718969,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,6,None,CopyProp,452104,30683.92,34173,0.718617,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,7,None,CopyProp,452104,29875.37,35098,0.699681,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,8,None,CopyProp,452104,30488.38,34393,0.714038,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,9,None,CopyProp,452104,30077.20,34863,0.704408,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,mir_dependent_case,10,None,CopyProp,452104,30436.72,34451,0.712828,0.371277,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,1,None,DataflowConstProp,452104,38781.75,27038,0.706332,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,2,None,DataflowConstProp,452104,40247.69,26053,0.733031,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,3,None,DataflowConstProp,452104,38910.07,26949,0.708669,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,4,None,DataflowConstProp,452104,38863.27,26981,0.707817,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,5,None,DataflowConstProp,452104,39407.17,26609,0.717723,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,6,None,DataflowConstProp,452104,41866.41,25046,0.762513,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,7,None,DataflowConstProp,452104,40165.14,26107,0.731528,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,8,None,DataflowConstProp,452104,38776.86,27041,0.706243,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,9,None,DataflowConstProp,452104,39493.01,26551,0.719286,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,easy_case,10,None,DataflowConstProp,452104,38830.93,27004,0.707228,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,1,None,DataflowConstProp,452104,32000.38,32768,0.749449,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,2,None,DataflowConstProp,452104,32239.32,32525,0.755045,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,3,None,DataflowConstProp,452104,34868.15,30073,0.816612,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,4,None,DataflowConstProp,452104,31254.11,33550,0.731971,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,5,None,DataflowConstProp,452104,30084.20,34855,0.704572,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,6,None,DataflowConstProp,452104,29863.86,35112,0.699412,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,7,None,DataflowConstProp,452104,29848.16,35130,0.699044,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,8,None,DataflowConstProp,452104,30659.47,34201,0.718045,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,9,None,DataflowConstProp,452104,30983.71,33843,0.725639,0.360190,Success
EXP_ABL_002_DataflowConstProp,Matrix,mir_dependent_case,10,None,DataflowConstProp,452104,31029.30,33793,0.726706,0.360190,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,1,None,DeadStoreElimination-final,452104,39491.07,26552,0.719251,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,2,None,DeadStoreElimination-final,452104,39362.54,26639,0.716910,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,3,None,DeadStoreElimination-final,452104,38704.16,27092,0.704919,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,4,None,DeadStoreElimination-final,452104,39991.55,26220,0.728366,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,5,None,DeadStoreElimination-final,452104,40964.54,25597,0.746087,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,6,None,DeadStoreElimination-final,452104,39458.30,26574,0.718654,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,7,None,DeadStoreElimination-final,452104,39180.71,26763,0.713598,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,8,None,DeadStoreElimination-final,452104,40511.97,25883,0.737844,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,9,None,DeadStoreElimination-final,452104,39529.39,26526,0.719949,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,easy_case,10,None,DeadStoreElimination-final,452104,39243.37,26720,0.714739,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,1,None,DeadStoreElimination-final,452104,32954.22,31819,0.771788,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,2,None,DeadStoreElimination-final,452104,30820.83,34022,0.721824,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,3,None,DeadStoreElimination-final,452104,30244.92,34669,0.708336,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,4,None,DeadStoreElimination-final,452104,30034.46,34912,0.703407,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,5,None,DeadStoreElimination-final,452104,30247.10,34667,0.708387,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,6,None,DeadStoreElimination-final,452104,31428.93,33363,0.736066,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,7,None,DeadStoreElimination-final,452104,31721.30,33056,0.742913,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,8,None,DeadStoreElimination-final,452104,30941.39,33889,0.724647,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,9,None,DeadStoreElimination-final,452104,29718.59,35284,0.696009,0.378441,Success
EXP_ABL_003_DeadStoreElimination-final,Matrix,mir_dependent_case,10,None,DeadStoreElimination-final,452104,29770.63,35222,0.697228,0.378441,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,1,None,DeadStoreElimination-initial,452104,38868.55,26977,0.707913,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,2,None,DeadStoreElimination-initial,452104,39962.11,26239,0.727830,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,3,None,DeadStoreElimination-initial,452104,41380.44,25340,0.753662,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,4,None,DeadStoreElimination-initial,452104,39704.63,26409,0.723140,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,5,None,DeadStoreElimination-initial,452104,39185.14,26760,0.713679,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,6,None,DeadStoreElimination-initial,452104,38768.36,27047,0.706088,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,7,None,DeadStoreElimination-initial,452104,40694.49,25767,0.741169,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,8,None,DeadStoreElimination-initial,452104,40811.07,25693,0.743292,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,9,None,DeadStoreElimination-initial,452104,40439.04,25930,0.736516,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,easy_case,10,None,DeadStoreElimination-initial,452104,40247.36,26053,0.733025,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,1,None,DeadStoreElimination-initial,452104,31710.30,33067,0.742655,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,2,None,DeadStoreElimination-initial,452104,30144.11,34785,0.705975,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,3,None,DeadStoreElimination-initial,452104,30931.19,33900,0.724408,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,4,None,DeadStoreElimination-initial,452104,30200.67,34720,0.707300,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,5,None,DeadStoreElimination-initial,452104,31608.08,33174,0.740261,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,6,None,DeadStoreElimination-initial,452104,31541.46,33244,0.738701,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,7,None,DeadStoreElimination-initial,452104,29947.53,35014,0.701371,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,8,None,DeadStoreElimination-initial,452104,30153.59,34775,0.706197,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,9,None,DeadStoreElimination-initial,452104,30329.60,34573,0.710319,0.374158,Success
EXP_ABL_004_DeadStoreElimination-initial,Matrix,mir_dependent_case,10,None,DeadStoreElimination-initial,452104,30365.98,34531,0.711171,0.374158,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,1,None,DestinationPropagation,452104,42014.64,24957,0.765213,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,2,None,DestinationPropagation,452104,40544.57,25862,0.738438,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,3,None,DestinationPropagation,452104,38995.57,26890,0.710226,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,4,None,DestinationPropagation,452104,38789.48,27032,0.706473,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,5,None,DestinationPropagation,452104,39198.59,26750,0.713924,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,6,None,DestinationPropagation,452104,38887.13,26965,0.708251,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,7,None,DestinationPropagation,452104,39227.16,26731,0.714444,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,8,None,DestinationPropagation,452104,40107.98,26144,0.730487,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,9,None,DestinationPropagation,452104,41047.32,25546,0.747595,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,easy_case,10,None,DestinationPropagation,452104,39941.53,26253,0.727455,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,1,None,DestinationPropagation,452104,30534.11,34341,0.715109,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,2,None,DestinationPropagation,452104,30451.45,34434,0.713173,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,3,None,DestinationPropagation,452104,30085.58,34853,0.704604,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,4,None,DestinationPropagation,452104,30916.74,33916,0.724070,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,5,None,DestinationPropagation,452104,31092.42,33724,0.728185,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,6,None,DestinationPropagation,452104,30928.82,33903,0.724353,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,7,None,DestinationPropagation,452104,30804.64,34040,0.721445,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,8,None,DestinationPropagation,452104,30230.77,34686,0.708005,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,9,None,DestinationPropagation,452104,29894.44,35076,0.700128,0.378715,Success
EXP_ABL_005_DestinationPropagation,Matrix,mir_dependent_case,10,None,DestinationPropagation,452104,30461.26,34423,0.713403,0.378715,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,1,None,EarlyOtherwiseBranch,452104,40308.05,26014,0.734131,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,2,None,EarlyOtherwiseBranch,452104,39194.63,26753,0.713852,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,3,None,EarlyOtherwiseBranch,452104,39049.91,26852,0.711216,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,4,None,EarlyOtherwiseBranch,452104,39958.20,26242,0.727759,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,5,None,EarlyOtherwiseBranch,452104,40610.39,25820,0.739637,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,6,None,EarlyOtherwiseBranch,452104,43065.39,24348,0.784350,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,7,None,EarlyOtherwiseBranch,452104,42281.61,24800,0.770075,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,8,None,EarlyOtherwiseBranch,452104,42462.78,24694,0.773375,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,9,None,EarlyOtherwiseBranch,452104,40389.35,25962,0.735611,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,easy_case,10,None,EarlyOtherwiseBranch,452104,39562.61,26504,0.720554,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,1,None,EarlyOtherwiseBranch,452104,31291.70,33510,0.732852,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,2,None,EarlyOtherwiseBranch,452104,31266.44,33537,0.732260,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,3,None,EarlyOtherwiseBranch,452104,31707.45,33070,0.742588,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,4,None,EarlyOtherwiseBranch,452104,30065.93,34876,0.704144,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,5,None,EarlyOtherwiseBranch,452104,29925.13,35040,0.700846,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,6,None,EarlyOtherwiseBranch,452104,31067.18,33752,0.727593,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,7,None,EarlyOtherwiseBranch,452104,30600.69,34266,0.716668,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,8,None,EarlyOtherwiseBranch,452104,34027.45,30816,0.796923,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,9,None,EarlyOtherwiseBranch,452104,31637.58,33143,0.740952,0.369881,Success
EXP_ABL_006_EarlyOtherwiseBranch,Matrix,mir_dependent_case,10,None,EarlyOtherwiseBranch,452104,31503.59,33284,0.737814,0.369881,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,1,None,EnumSizeOpt,452104,39042.84,26857,0.711087,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,2,None,EnumSizeOpt,452104,38623.94,27148,0.703458,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,3,None,EnumSizeOpt,452104,40675.25,25779,0.740818,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,4,None,EnumSizeOpt,452104,41815.36,25076,0.761583,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,5,None,EnumSizeOpt,452104,39011.86,26878,0.710523,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,6,None,EnumSizeOpt,452104,39180.93,26762,0.713602,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,7,None,EnumSizeOpt,452104,38815.12,27015,0.706940,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,8,None,EnumSizeOpt,452104,38652.74,27128,0.703982,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,9,None,EnumSizeOpt,452104,38672.11,27115,0.704335,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,easy_case,10,None,EnumSizeOpt,452104,41014.61,25566,0.746999,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,1,None,EnumSizeOpt,452104,31315.33,33484,0.733405,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,2,None,EnumSizeOpt,452104,30542.05,34332,0.715295,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,3,None,EnumSizeOpt,452104,30143.46,34786,0.705960,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,4,None,EnumSizeOpt,452104,30222.06,34696,0.707801,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,5,None,EnumSizeOpt,452104,29944.60,35017,0.701303,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,6,None,EnumSizeOpt,452104,31811.16,32963,0.745017,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,7,None,EnumSizeOpt,452104,35125.98,29852,0.822650,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,8,None,EnumSizeOpt,452104,30845.04,33995,0.722391,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,9,None,EnumSizeOpt,452104,29975.05,34982,0.702016,0.483871,Success
EXP_ABL_007_EnumSizeOpt,Matrix,mir_dependent_case,10,None,EnumSizeOpt,452104,30431.90,34456,0.712715,0.483871,Success
