config_id,config_name,mir_disabled_count,llvm_disabled_count,mir_disabled_list,llvm_disabled_list
18,RANDOM_CONFIG_0018,4,29,EnumSizeOpt;GVN;MatchBranchSimplification;UnreachableEnumBranching,adv-copy-opt;advanced-peeling;auto-upgrade-debug-info;binop-extract-shuffle;branch-fold;cgp-branch-opts;cgp-ext-ld-promotion;chr;cleanups;early-taildup;ifcvt-diamond;ifcvt-triangle;ifcvt-triangle-false;interleaved-load-combine;loop-idiom-vectorize-all;loop-level-heuristics;machine-dce;machine-licm;mr-partial-inlining;peephole;post-ra;preheader-prot;preinline;promote-alloca-to-vector;ra-fsprofile-loader;replace-with-vec-lib;select-optimize;tail-calls;vp
19,RANDOM_CONFIG_0019,10,22,CopyProp;DataflowConstProp;DeadStoreElimination-final;DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;InstSimplify-before-inline;ReferencePropagation;UnreachableEnumBranching,advanced-peeling;branch-fold;cgdata-for-merging;cgp-delete-phis;cgp-ext-ld-promotion;cgp-select2branch;cgp-store-extract;chr;complex-addr-modes;global-outlining;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-triangle-false;layout-fsprofile-loader;mr-partial-inlining;non-allocatable-phys-copy-opt;ondemand-mds-loading;postra-machine-sink;preheader-prot;select-optimize;tail-calls;vector-combine
20,RANDOM_CONFIG_0020,5,12,CopyProp;DeadStoreElimination-initial;EnumSizeOpt;Inline;ScalarReplacementOfAggregates,advanced-peeling;cgp-select2branch;early-ifcvt;expand-reductions;gep-const-evaluation;i2p-p2i-opt;lftr;licm-promotion;lsr;mr-partial-inlining;promote-alloca-to-vector;thinlto-funcattrs
21,RANDOM_CONFIG_0021,6,30,DeadStoreElimination-final;EnumSizeOpt;ForceInline;InstSimplify-before-inline;SingleUseConsts;UnreachableEnumBranching,adv-copy-opt;branch-fold;cfi-fixup;cgp-branch-opts;cgp-delete-phis;cgp-select2branch;chr;complex-addr-modes;early-taildup;global-outlining;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-triangle-rev;layout-fsprofile-loader;machine-cse;memop-opt;mr-partial-inlining;nounwind-inference;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;preheader-prot;preinline;replace-with-vec-lib;sample-loader-inlining;select-optimize;separate-const-offset-from-gep;spill-fusing;tail-duplicate;vp
22,RANDOM_CONFIG_0022,10,23,CopyProp;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;ForceInline;ImpossiblePredicates;JumpThreading;ReferencePropagation;ScalarReplacementOfAggregates;UnreachableEnumBranching,cgp;cgp-delete-phis;cgp-gc-opts;cgp-select2branch;cleanups;complex-addr-modes;constant-hoisting;copyprop;early-ifcvt;i2p-p2i-opt;ifcvt-triangle;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;mergeicmps;non-allocatable-phys-copy-opt;nounwind-inference;partial-inlining;phi-elim-edge-splitting;post-ra;postra-machine-licm;preinline;promote-alloca-to-vector;ra-fsprofile-loader
23,RANDOM_CONFIG_0023,7,24,CopyProp;EnumSizeOpt;ImpossiblePredicates;InstSimplify-after-simplifycfg;JumpThreading;MatchBranchSimplification;SingleUseConsts,advanced-peeling;binop-extract-shuffle;cgdata-for-merging;cgp-delete-phis;cgp-gc-opts;early-taildup;gep-const-evaluation;ifcvt-triangle-rev;last-run-tracking;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-sink;memop-opt;mr-partial-inlining;non-allocatable-phys-copy-opt;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;postra-machine-sink;sample-loader-inlining;select-optimize;thinlto-funcattrs;type-promotion;vp
24,RANDOM_CONFIG_0024,4,26,ImpossiblePredicates;InstSimplify-after-simplifycfg;JumpThreading;MatchBranchSimplification,advanced-peeling;bitcode-version-upgrade;cgdata-for-merging;cgp-select2branch;chr;complex-addr-modes;constant-hoisting;global-outlining;icp;ifcvt-triangle-false;licm-promotion;loop-level-heuristics;machine-dce;machine-licm;memop-opt;mergeicmps;mr-partial-inlining;ondemand-mds-loading;post-ra;postra-machine-licm;ra-fsprofile-loader;separate-const-offset-from-gep;spill-fusing;strictnode-mutation;thinlto-funcattrs;vp
25,RANDOM_CONFIG_0025,7,23,EarlyOtherwiseBranch;ForceInline;GVN;JumpThreading;ReferencePropagation;SingleUseConsts;UnreachablePropagation,adv-copy-opt;auto-upgrade-debug-info;block-placement;cgdata-for-merging;cgp-delete-phis;chr;expand-reductions;gep-const-evaluation;ifcvt-diamond;ifcvt-simple;ifcvt-simple-false;interleaved-load-combine;lftr;licm-promotion;loop-level-heuristics;machine-dce;nofree-inference;ondemand-mds-loading;partial-libcall-inlining;peephole;postra-machine-licm;ssc;type-promotion
26,RANDOM_CONFIG_0026,5,24,EarlyOtherwiseBranch;Inline;InstSimplify-after-simplifycfg;ReferencePropagation;UnreachableEnumBranching,auto-upgrade-debug-info;cfi-fixup;cgp-gc-opts;cgp-select2branch;copyprop;dfa-sched;early-taildup;gep-const-evaluation;i2p-p2i-opt;icp;ifcvt-forked-diamond;ifcvt-triangle-false;ifcvt-triangle-rev;loop-idiom-vectorize-all;machine-dce;machine-licm;peephole;preinline;promote-alloca-to-vector;sample-loader-inlining;spill-fusing;ssc;strictnode-mutation;vector-combine
27,RANDOM_CONFIG_0027,4,24,CopyProp;ForceInline;JumpThreading;SingleUseConsts,auto-upgrade-debug-info;branch-fold;cgp;cgp-delete-phis;cgp-store-extract;chr;complex-addr-modes;demotion;dfa-sched;expand-reductions;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple-false;licm-promotion;loop-idiom-vectorize-all;loop-level-heuristics;machine-dce;ondemand-mds-loading;postra-machine-licm;preinline;replace-with-vec-lib;sample-loader-inlining;separate-const-offset-from-gep;whole-program-visibility
28,RANDOM_CONFIG_0028,8,31,CopyProp;ForceInline;GVN;ImpossiblePredicates;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;ScalarReplacementOfAggregates,2addr-hack;advanced-peeling;auto-upgrade-debug-info;binop-extract-shuffle;branch-fold;cfi-fixup;cgdata-for-merging;cgp;chr;constant-hoisting;copyprop;dfa-sched;early-ifcvt;early-taildup;expand-reductions;gep-const-evaluation;global-outlining;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple-false;ifcvt-triangle;licm-promotion;loop-idiom-vectorize-bytecmp;machine-cse;machine-sink;mr-partial-inlining;postra-machine-licm;preheader-prot;ra-fsprofile-loader;sample-loader-inlining;vector-combine
29,RANDOM_CONFIG_0029,6,28,CopyProp;DeadStoreElimination-initial;DestinationPropagation;Inline;InstSimplify-before-inline;SingleUseConsts,auto-upgrade-debug-info;binop-extract-shuffle;bitcode-version-upgrade;branch-fold;cgp;cgp-ext-ld-promotion;cgp-gc-opts;cgp-select2branch;cgp-store-extract;constant-hoisting;demotion;dfa-sched;global-outlining;ifcvt-diamond;ifcvt-triangle-false;loop-level-heuristics;lsr;machine-sink;memop-opt;mr-partial-inlining;ondemand-mds-loading;partial-libcall-inlining;postra-machine-sink;select-optimize;spill-fusing;strictnode-mutation;vector-combine;vp
30,RANDOM_CONFIG_0030,6,30,CopyProp;DataflowConstProp;EnumSizeOpt;InstSimplify-before-inline;JumpThreading;UnreachableEnumBranching,advanced-peeling;auto-upgrade-debug-info;binop-extract-shuffle;block-placement;cgp-delete-phis;cgp-select2branch;dfa-sched;expand-reductions;global-outlining;ifcvt-diamond;ifcvt-triangle-false;ifcvt-triangle-rev;last-run-tracking;layout-fsprofile-loader;machine-licm;memop-opt;mergeicmps;nofree-inference;non-allocatable-phys-copy-opt;ondemand-mds-loading;partial-libcall-inlining;peephole;phi-elim-edge-splitting;postra-machine-licm;promote-alloca-to-vector;separate-const-offset-from-gep;ssc;tail-duplicate;thinlto-funcattrs;whole-program-visibility
31,RANDOM_CONFIG_0031,8,27,DeadStoreElimination-final;DeadStoreElimination-initial;EarlyOtherwiseBranch;ForceInline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading;ScalarReplacementOfAggregates,adv-copy-opt;binop-extract-shuffle;branch-fold;cgdata-for-merging;cgp;cgp-gc-opts;chr;global-outlining;icp;ifcvt-simple-false;ifcvt-triangle-false;layout-fsprofile-loader;lftr;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-cse;machine-sink;nofree-inference;non-allocatable-phys-copy-opt;partial-inlining;post-ra;postra-machine-licm;sample-loader-inlining;separate-const-offset-from-gep;spill-fusing;ssc;thinlto-funcattrs
32,RANDOM_CONFIG_0032,4,21,CopyProp;GVN;Inline;MatchBranchSimplification,2addr-hack;adv-copy-opt;advanced-peeling;block-placement;cgp-branch-opts;cgp-delete-phis;cgp-gc-opts;copyprop;early-taildup;licm-promotion;loop-idiom-vectorize-all;lsr;machine-dce;machine-licm;nofree-inference;partial-inlining;partial-libcall-inlining;promote-alloca-to-vector;tail-calls;tail-duplicate;type-promotion
33,RANDOM_CONFIG_0033,6,23,CopyProp;ForceInline;JumpThreading;MatchBranchSimplification;UnreachableEnumBranching;UnreachablePropagation,2addr-hack;bitcode-version-upgrade;block-placement;cgdata-for-merging;cgp;cgp-gc-opts;cgp-store-extract;gep-const-evaluation;global-outlining;i2p-p2i-opt;ifcvt-simple;ifcvt-triangle-rev;layout-fsprofile-loader;lftr;nofree-inference;ondemand-mds-loading;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;select-optimize;tail-calls;tail-duplicate;whole-program-visibility
34,RANDOM_CONFIG_0034,8,26,DeadStoreElimination-final;DeadStoreElimination-initial;ForceInline;GVN;MatchBranchSimplification;ReferencePropagation;SingleUseConsts;UnreachableEnumBranching,2addr-hack;advanced-peeling;auto-upgrade-debug-info;binop-extract-shuffle;cgdata-for-merging;cleanups;demotion;early-taildup;expand-reductions;ifcvt-diamond;ifcvt-triangle-rev;layout-fsprofile-loader;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;lsr;machine-licm;machine-sink;non-allocatable-phys-copy-opt;partial-inlining;partial-libcall-inlining;peephole;postra-machine-licm;ra-fsprofile-loader;tail-calls;vp;whole-program-visibility
35,RANDOM_CONFIG_0035,3,29,GVN;ImpossiblePredicates;UnreachableEnumBranching,advanced-peeling;auto-upgrade-debug-info;binop-extract-shuffle;cgp;cgp-delete-phis;copyprop;early-ifcvt;gep-const-evaluation;i2p-p2i-opt;ifcvt-diamond;ifcvt-triangle;ifcvt-triangle-false;ifcvt-triangle-rev;lftr;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-dce;machine-sink;nounwind-inference;post-ra;postra-machine-licm;postra-machine-sink;preheader-prot;ra-fsprofile-loader;replace-with-vec-lib;strictnode-mutation;tail-duplicate;vector-combine;vp
36,RANDOM_CONFIG_0036,4,17,CopyProp;ImpossiblePredicates;SingleUseConsts;UnreachableEnumBranching,auto-upgrade-debug-info;cgp;cgp-branch-opts;cgp-ext-ld-promotion;cgp-gc-opts;chr;dfa-sched;global-outlining;ifcvt-diamond;ifcvt-simple-false;loop-idiom-vectorize-bytecmp;machine-sink;partial-inlining;phi-elim-edge-splitting;post-ra;postra-machine-sink;vector-combine
37,RANDOM_CONFIG_0037,9,21,CopyProp;DataflowConstProp;DeadStoreElimination-initial;EnumSizeOpt;ForceInline;ImpossiblePredicates;Inline;ReferencePropagation;UnreachablePropagation,2addr-hack;auto-upgrade-debug-info;binop-extract-shuffle;cgdata-for-merging;cgp-gc-opts;cleanups;complex-addr-modes;dfa-sched;early-ifcvt;ifcvt-triangle-false;licm-promotion;loop-idiom-vectorize-bytecmp;lsr;memop-opt;mergeicmps;phi-elim-edge-splitting;preheader-prot;replace-with-vec-lib;sample-loader-inlining;tail-duplicate;vp
38,RANDOM_CONFIG_0038,6,28,DataflowConstProp;DeadStoreElimination-final;GVN;SingleUseConsts;UnreachableEnumBranching;UnreachablePropagation,adv-copy-opt;advanced-peeling;branch-fold;cgdata-for-merging;cgp;cgp-delete-phis;cgp-ext-ld-promotion;cgp-gc-opts;early-taildup;global-outlining;i2p-p2i-opt;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-simple-false;ifcvt-triangle-rev;last-run-tracking;loop-idiom-vectorize-bytecmp;machine-cse;machine-dce;machine-licm;machine-sink;memop-opt;nofree-inference;postra-machine-sink;preinline;select-optimize;ssc;whole-program-visibility
39,RANDOM_CONFIG_0039,4,25,EarlyOtherwiseBranch;MatchBranchSimplification;ScalarReplacementOfAggregates;UnreachablePropagation,2addr-hack;adv-copy-opt;advanced-peeling;bitcode-version-upgrade;cgp-store-extract;dfa-sched;expand-reductions;global-outlining;i2p-p2i-opt;ifcvt-simple;layout-fsprofile-loader;lftr;licm-promotion;loop-idiom-vectorize-bytecmp;lsr;memop-opt;mr-partial-inlining;nounwind-inference;ondemand-mds-loading;peephole;promote-alloca-to-vector;ra-fsprofile-loader;replace-with-vec-lib;tail-calls;tail-duplicate
40,RANDOM_CONFIG_0040,5,29,DeadStoreElimination-final;EarlyOtherwiseBranch;GVN;Inline;UnreachableEnumBranching,binop-extract-shuffle;bitcode-version-upgrade;cfi-fixup;cgp;cgp-delete-phis;cgp-ext-ld-promotion;cgp-select2branch;cgp-store-extract;copyprop;expand-reductions;gep-const-evaluation;i2p-p2i-opt;interleaved-load-combine;layout-fsprofile-loader;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-cse;machine-dce;nofree-inference;nounwind-inference;partial-inlining;peephole;phi-elim-edge-splitting;ra-fsprofile-loader;spill-fusing;ssc;tail-duplicate;vector-combine
41,RANDOM_CONFIG_0041,7,24,DataflowConstProp;EnumSizeOpt;ForceInline;ImpossiblePredicates;InstSimplify-after-simplifycfg;InstSimplify-before-inline;SingleUseConsts,2addr-hack;adv-copy-opt;bitcode-version-upgrade;cgdata-for-merging;cleanups;demotion;expand-reductions;gep-const-evaluation;global-outlining;loop-level-heuristics;machine-dce;machine-licm;machine-sink;mergeicmps;mr-partial-inlining;peephole;phi-elim-edge-splitting;postra-machine-licm;sample-loader-inlining;separate-const-offset-from-gep;ssc;strictnode-mutation;type-promotion;vp
42,RANDOM_CONFIG_0042,7,26,DataflowConstProp;DestinationPropagation;Inline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading;SingleUseConsts,adv-copy-opt;auto-upgrade-debug-info;cgp;cgp-delete-phis;chr;complex-addr-modes;copyprop;dfa-sched;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-triangle-rev;layout-fsprofile-loader;lftr;loop-idiom-vectorize-all;loop-level-heuristics;machine-sink;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;ondemand-mds-loading;peephole;postra-machine-licm;postra-machine-sink;sample-loader-inlining;spill-fusing;whole-program-visibility
43,RANDOM_CONFIG_0043,3,26,DestinationPropagation;GVN;UnreachablePropagation,advanced-peeling;binop-extract-shuffle;bitcode-version-upgrade;branch-fold;cgdata-for-merging;cgp-ext-ld-promotion;cgp-store-extract;chr;cleanups;copyprop;demotion;early-ifcvt;early-taildup;global-outlining;ifcvt-simple-false;interleaved-load-combine;loop-idiom-vectorize-bytecmp;lsr;machine-licm;ondemand-mds-loading;partial-libcall-inlining;post-ra;sample-loader-inlining;tail-calls;thinlto-funcattrs;whole-program-visibility
44,RANDOM_CONFIG_0044,5,18,DeadStoreElimination-initial;DestinationPropagation;InstSimplify-after-simplifycfg;JumpThreading;ReferencePropagation,2addr-hack;advanced-peeling;branch-fold;cfi-fixup;cgp;cgp-delete-phis;cgp-ext-ld-promotion;complex-addr-modes;constant-hoisting;early-ifcvt;early-taildup;ifcvt-diamond;ifcvt-simple-false;nofree-inference;partial-libcall-inlining;ra-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining
45,RANDOM_CONFIG_0045,6,28,DestinationPropagation;GVN;ImpossiblePredicates;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates,bitcode-version-upgrade;block-placement;branch-fold;cgp;cleanups;complex-addr-modes;copyprop;dfa-sched;early-taildup;gep-const-evaluation;ifcvt-diamond;ifcvt-triangle-false;layout-fsprofile-loader;memop-opt;nofree-inference;partial-inlining;peephole;post-ra;postra-machine-sink;preheader-prot;replace-with-vec-lib;sample-loader-inlining;select-optimize;spill-fusing;ssc;tail-calls;tail-duplicate;vector-combine
46,RANDOM_CONFIG_0046,7,25,DataflowConstProp;DeadStoreElimination-final;Inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates;UnreachablePropagation,2addr-hack;adv-copy-opt;bitcode-version-upgrade;cgp-branch-opts;cgp-delete-phis;demotion;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-triangle;ifcvt-triangle-rev;interleaved-load-combine;last-run-tracking;layout-fsprofile-loader;loop-idiom-vectorize-all;machine-cse;machine-licm;mr-partial-inlining;non-allocatable-phys-copy-opt;peephole;promote-alloca-to-vector;ra-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining;vector-combine;vp
47,RANDOM_CONFIG_0047,2,26,DeadStoreElimination-initial;UnreachablePropagation,branch-fold;cgp;cgp-gc-opts;complex-addr-modes;demotion;early-ifcvt;early-taildup;gep-const-evaluation;ifcvt-triangle-rev;interleaved-load-combine;lftr;licm-promotion;loop-level-heuristics;machine-cse;machine-dce;mergeicmps;nofree-inference;nounwind-inference;peephole;post-ra;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;tail-calls;tail-duplicate;type-promotion
